gene_name,TCGA-09-2044-01,TCGA-13-1505-01,TCGA-25-1319-01,TCGA-25-2397-01
MAPK11,-0.4325,1.0503,-0.9686,-0.9132
MAPK12,-0.2328,1.0573,-0.9132,-0.6193
MAPK13,4.4033,4.511,2.9052,4.3242
MAPK14,3.9089,4.3177,4.1604,4.0523
MAPK15,0.8647,5.5901,4.2404,5.8205
MAPK3,6.0902,6.2407,6.6886,6.9292
MAPK4,-9.9658,-1.1811,-4.035,-4.6082
MAPK6,3.3535,3.0092,3.2034,2.2753
MAPK7,2.4649,3.5337,3.5754,2.1147
MAPK8,4.4223,4.1153,3.9478,3.7773
MAPK8IP1,4.6821,4.1587,3.6382,2.6579
MAPK8IP2,1.7185,-2.0529,-0.5332,0.6517
MAPK8IP3,1.3679,5.7774,3.1028,3.3966
MAPK9,4.073,2.945,3.1717,2.7073
MAPKAP1,5.432,5.1563,5.2608,5.6026
MAPKAPK2,4.86,5.505,5.0549,5.4709
MAPKAPK3,4.9787,3.8136,3.9156,4.8059
MAPKAPK5,3.5073,4.3506,4.1555,3.002
MAPT,-0.5756,-0.1828,-2.114,0.346
MATK,-0.2671,-0.1187,-0.6193,2.1702
MAVS,3.3563,3.6669,3.6804,4.2936
MAX,5.6262,5.0777,5.4845,4.4149
MC2R,-5.0116,-9.9658,-9.9658,-6.5064
MCL1,5.4986,6.194,6.0997,5.8931
MDM2,3.3105,3.492,3.7971,2.5213
MDM4,1.7229,2.9032,1.2696,2.3953
ME1,1.2085,-0.1504,1.6604,1.8444
ME3,3.8218,2.0673,1.7229,4.3965
MECOM,4.5034,4.9402,4.9837,1.6649
MED1,3.2034,2.7007,3.8105,2.0147
MED12,4.3385,4.3002,5.067,4.1252
MED12L,0.2881,-1.5522,-1.6394,-3.816
MED13,2.9765,2.1862,2.6208,1.3283
MED13L,1.2576,3.0654,1.2271,1.4228
MED14,3.9992,2.5188,4.1571,3.795
MED16,5.082,4.9203,4.3371,3.8126
MED17,3.6113,4.0977,3.5982,3.5337
MED24,5.1851,4.9256,5.3813,4.2427
MED27,4.6118,4.1756,4.5808,3.637
MED30,4.4777,4.5497,4.9649,5.3982
MED4,4.795,4.2601,4.3119,4.3234
MEF2A,3.2841,3.4856,3.8431,2.7826
MEF2B,1.7489,0.4447,0.1257,-0.9406
MEF2C,1.8801,1.7489,1.5266,1.4494
MEF2D,4.0118,3.9185,3.9412,3.6725
MEFV,-1.8836,-3.6259,-2.9324,-3.458
MEGF8,1.7097,2.8661,1.9859,3.1876
MET,-0.2671,2.7379,1.4441,4.0969
MFN1,4.3611,4.5856,4.2995,3.6066
MFN2,4.3349,4.1027,4.7709,4.9514
MFNG,2.3843,1.6327,1.2209,0.7832
MGRN1,3.6463,6.0025,5.2177,3.8798
MICOS10-NBL1,0.0,0.0,0.0,0.0
MIOS,2.4985,2.3308,2.6348,3.6042
MKNK1,4.3162,4.1883,4.4122,4.6195
MKNK2,5.4774,4.7997,6.1675,5.9589
MLKL,1.2147,0.5955,1.2576,-0.0425
MLST8,5.2717,7.189,5.5201,4.8763
MLYCD,-0.0574,0.0158,0.044,0.24
MMP1,-1.2142,1.0573,-1.8314,-2.3884
MMP13,-3.816,-2.1779,-5.5735,-3.6259
MMP14,5.2281,6.3313,5.4407,4.0162
MMP2,5.0273,7.189,4.7038,4.764
MMP3,-9.9658,-2.6349,-3.0469,-9.9658
MMP7,3.9728,6.5035,6.2231,7.3406
MMP9,4.0662,1.5216,1.6512,0.688
MOB1A,6.3456,5.865,7.1385,5.445
MOB1B,1.5854,1.9452,1.8323,2.4985
MOSMO,0.0,0.0,0.0,0.0
MPL,-4.035,-2.8262,-2.6349,-1.9379
MRAS,3.5387,3.1924,3.8739,3.8157
MS4A2,-6.5064,-2.9324,-4.6082,-4.6082
MST1,2.4934,3.3591,1.3567,5.5173
