gene_name,TCGA-P8-A5KC-01,TCGA-P8-A5KD-01,TCGA-P8-A6RX-01,TCGA-P8-A6RY-01,TCGA-PR-A5PF-01,TCGA-PR-A5PG-01,TCGA-PR-A5PH-01,TCGA-QR-A6GO-01,TCGA-QR-A6GT-01,TCGA-QR-A6GU-01,TCGA-QR-A6GZ-01,TCGA-QR-A6H2-01,TCGA-QR-A70W-01,TCGA-QT-A5XJ-01,TCGA-QT-A5XK-01,TCGA-QT-A5XL-01,TCGA-QT-A5XM-01,TCGA-QT-A5XN-01,TCGA-QT-A5XO-01,TCGA-QT-A5XP-01,TCGA-QT-A69Q-01,TCGA-QT-A7U0-01,TCGA-RT-A6Y9-01,TCGA-RT-A6YA-01,TCGA-RT-A6YC-01,TCGA-RW-A67V-01,TCGA-RW-A67X-01,TCGA-RW-A680-01,TCGA-RW-A681-01,TCGA-RW-A685-01,TCGA-RW-A688-01,TCGA-RW-A689-01,TCGA-RW-A68A-01,TCGA-RW-A68B-01,TCGA-RW-A68C-01,TCGA-RW-A68D-01,TCGA-RW-A68F-01,TCGA-RW-A68G-01,TCGA-RW-A8AZ-01,TCGA-RX-A8JQ-01,TCGA-S7-A7WL-01,TCGA-S7-A7WM-01,TCGA-S7-A7WN-01,TCGA-S7-A7WP-01,TCGA-S7-A7WQ-01,TCGA-S7-A7WR-01,TCGA-S7-A7WU-01,TCGA-S7-A7WV-01,TCGA-S7-A7WW-01,TCGA-S7-A7WX-01,TCGA-S7-A7X0-01,TCGA-S7-A7X1-01,TCGA-S7-A7X2-01,TCGA-SA-A6C2-01,TCGA-SP-A6QH-01,TCGA-SP-A6QJ-01,TCGA-SR-A6MQ-01,TCGA-SR-A6MX-01,TCGA-SR-A6MY-01,TCGA-SR-A6MZ-01,TCGA-TT-A6YN-01,TCGA-W2-A7HC-01,TCGA-W2-A7HF-01,TCGA-WB-A80Q-01,TCGA-WB-A814-01,TCGA-WB-A815-01,TCGA-WB-A817-01,TCGA-WB-A818-01,TCGA-WB-A819-01,TCGA-WB-A81G-01,TCGA-WB-A81M-01,TCGA-WB-A81P-01,TCGA-WB-A81S-01,TCGA-WB-A81T-01,TCGA-WB-A81V-01,TCGA-WB-A81W-01
CAMK2D,3.0859,3.9663,0.9038,2.6715,3.7324,2.9875,3.0533,3.0961,3.4687,3.793,1.4494,2.3479,1.6604,3.7836,3.2856,2.6138,3.7443,3.2915,2.8799,2.7868,1.5661,3.2236,2.5288,-0.6643,3.1653,1.6281,1.9149,2.4727,2.4805,2.2513,3.2602,0.3685,3.8411,3.5274,2.4831,3.3619,3.3814,1.766,2.1894,3.1572,2.872,2.9637,3.3717,2.8661,2.5036,3.3421,2.4171,3.2065,2.8137,2.4332,2.667,2.2603,2.1574,3.5596,1.8524,2.6487,3.6566,3.2405,3.6994,3.0323,3.6405,2.7889,3.1045,1.3735,1.9822,2.4857,2.6895,3.1892,3.4997,3.3032,3.034,3.3731,3.4958,2.59,1.3956,2.9875
CAMK2G,4.7159,4.6916,3.9031,3.5174,4.8535,4.9002,4.6877,4.1708,3.2647,3.8259,3.5584,4.4027,4.0162,3.9663,4.3653,4.1812,4.3335,4.2781,4.0943,4.3765,4.3681,4.7138,4.3242,4.01,3.906,4.2661,2.971,2.9488,4.8048,4.7523,4.6428,4.7176,4.8365,5.9407,3.4464,4.6742,3.9938,3.0074,4.423,4.4556,3.5424,4.441,4.2173,4.4562,3.7603,5.0704,4.4115,3.4791,4.1011,4.6077,4.7312,3.222,4.9723,4.9036,4.7334,4.2743,4.8968,3.5754,4.7469,4.9486,4.9946,4.5711,5.6144,3.831,4.1136,4.0515,4.2196,5.1903,5.1974,3.7888,4.711,4.9486,5.3481,5.0414,4.9874,4.861
CAMK4,3.4318,5.8445,3.8136,3.7699,4.1119,5.7976,4.3371,3.8866,3.8827,4.1094,3.1245,2.7444,3.7593,1.2085,5.2208,4.1978,4.7421,6.2369,5.796,4.6352,4.3442,5.6792,4.5916,3.6277,5.2215,2.7784,3.5694,2.183,3.2722,3.6657,5.0282,4.3506,5.9134,5.2487,3.551,4.834,4.1094,2.2082,3.0568,5.2888,4.5411,4.3242,5.3038,4.2173,4.1466,5.2713,4.858,2.4225,2.328,4.9514,4.1931,4.1498,4.6713,6.0308,1.674,3.9089,4.7512,3.5899,3.6532,4.2048,5.3702,4.3709,4.6645,2.4386,4.5994,4.1236,4.2578,4.9575,4.9137,4.8243,5.0597,4.3716,4.3772,4.314,4.429,5.0018
CAMKK2,3.5449,3.1409,2.3677,1.6649,1.8879,2.036,2.9544,2.1013,3.5486,2.8916,3.2096,1.1316,2.1702,4.1891,2.8582,3.4129,2.3592,2.1734,2.5511,1.8918,1.5661,2.3926,1.9564,2.2753,2.4753,1.8323,2.5972,2.3106,1.0222,2.3953,1.6234,2.2206,2.7951,2.7972,3.0654,2.1957,1.9188,2.036,2.5388,3.0995,1.2516,2.7401,2.5313,3.0287,3.0876,2.1766,2.5561,3.4713,2.5338,2.8055,3.2189,3.1011,2.2113,2.2175,4.5161,1.6604,2.872,2.6602,2.2783,3.1876,2.2753,2.3816,3.1278,2.2144,2.59,2.4465,2.8897,2.8096,2.328,2.7183,1.8879,2.8014,2.9784,2.6255,2.043,2.2783
CAMP,-1.5951,-1.2142,-5.0116,-2.114,-9.9658,-0.9971,-9.9658,-3.458,-3.458,-5.0116,-1.0559,-9.9658,-9.9658,-9.9658,-5.0116,-9.9658,-1.8314,-9.9658,-1.9379,-4.035,-3.6259,-2.0529,-5.0116,-2.2447,-4.035,-9.9658,-3.3076,-9.9658,-9.9658,-4.2934,-9.9658,-3.3076,-9.9658,-9.9658,-4.2934,-1.2481,-2.3884,-3.0469,-9.9658,-4.2934,-4.035,-2.3147,0.8408,-1.685,-3.816,-5.0116,-5.0116,-0.5973,-5.0116,-1.9942,-9.9658,-1.8836,-1.3183,-3.0469,-2.7274,-0.6193,1.0293,-4.6082,-0.1828,-0.0425,-5.0116,1.9527,-4.6082,-9.9658,-9.9658,-9.9658,-4.035,-3.0469,-3.458,-9.9658,-9.9658,-1.0559,-9.9658,-2.5479,-0.1828,-5.0116
CARD10,2.4412,1.125,2.3981,0.4447,0.4233,0.0158,1.9527,1.3225,1.9564,1.0222,3.6393,0.3231,-0.9686,2.4008,1.0983,2.4623,1.4652,-0.4921,0.3685,1.2333,0.4657,-0.2845,-0.8599,1.2455,0.24,-0.394,3.5706,0.6425,-3.0469,0.6517,-1.1488,0.5568,0.6239,0.517,3.2647,1.3511,-1.0862,1.2696,-0.2328,1.0573,-0.5973,0.5955,0.4016,2.1378,1.9188,1.0222,1.5266,2.081,2.3981,0.8327,2.5756,2.909,1.3791,0.8246,3.2826,1.7446,0.9862,1.5709,-0.2498,1.8036,0.7493,1.0915,1.3283,1.3225,1.2271,1.9452,2.328,0.3115,1.4174,2.3508,-1.5105,1.4441,0.9419,1.0642,1.125,0.8805
CARD11,-0.1665,1.3397,0.1903,-0.2328,1.6093,-0.8863,-2.1779,1.7532,-0.4131,-1.3183,-0.5973,-1.5105,0.688,1.4174,2.8955,-0.0277,0.346,-0.4719,-0.4521,-0.394,0.1519,0.434,0.5069,-1.3921,-0.1187,-1.9379,0.7832,-0.7108,-1.7809,-0.0725,-1.7322,-0.2845,3.7291,-0.8863,-0.1993,-1.1172,-1.9942,1.7229,-1.4699,0.605,-1.3921,-0.3201,0.2881,-0.4719,0.605,2.5338,0.2154,0.3231,3.0774,0.5666,0.7832,-0.5332,0.3573,-1.5105,-0.8084,1.1382,0.8488,-1.0262,0.517,2.4171,0.3346,2.3164,0.0014,-0.9406,0.7999,1.1833,-0.4325,-0.0277,1.1512,-0.9686,-2.7274,0.9862,0.1388,3.38,-0.6193,0.517
CARD14,-3.458,-1.5522,-2.114,-3.816,-2.7274,-3.1714,-3.0469,-2.9324,-4.2934,-2.9324,-2.6349,-5.5735,-1.4699,-2.9324,-3.6259,-3.0469,-3.458,-1.9379,-2.6349,-3.0469,-3.816,-3.1714,-0.5543,-2.5479,-3.0469,-3.816,-3.458,-5.0116,-1.685,-1.3183,-2.4659,-2.5479,-3.458,-2.8262,-3.6259,-5.0116,-2.7274,-2.8262,-3.458,-2.8262,-4.2934,-2.3884,-3.3076,-3.816,-2.7274,-2.5479,-1.8314,-3.3076,-2.2447,-2.4659,-3.0469,-3.458,-4.035,-3.816,-2.8262,-2.114,-1.1488,-1.685,-3.3076,-1.3921,-1.9942,-2.6349,-1.1488,-3.6259,-3.0469,-3.816,-3.1714,-3.816,-2.7274,-2.2447,-4.6082,-2.3147,-1.8836,-1.4699,-3.3076,-1.7322
CARD16,3.2973,2.5585,3.1261,2.2391,2.2206,1.816,2.8482,2.7847,4.0278,1.949,4.4483,2.4144,1.1117,1.614,3.3464,3.4622,2.9911,1.2023,2.0395,3.245,2.4332,1.8363,2.4225,2.8137,2.7292,1.2696,3.7982,2.9948,-0.2498,2.6918,-0.5125,2.2872,1.7141,1.5415,3.5935,2.7357,2.0979,3.1045,1.8524,1.4441,2.59,2.1894,2.4412,2.2144,4.0162,2.3871,2.2513,5.1974,3.2766,3.2766,3.7877,3.3787,3.0056,1.8484,4.5717,3.5486,2.183,2.4779,2.9052,3.6486,1.6466,3.3293,1.4962,2.8341,2.4675,2.6647,1.3735,2.0604,3.6635,2.8117,0.7664,2.1702,2.2421,2.3077,2.362,1.7617
CARD17,-9.9658,-4.035,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.816,-9.9658,-9.9658,-3.816,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-4.2934,-9.9658,-9.9658,-9.9658,-9.9658,-4.035,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.458,-9.9658,-9.9658,-9.9658,-9.9658,-4.035,-9.9658,-3.816,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-2.7274,-9.9658,-9.9658,-4.035,-9.9658,-9.9658,-2.8262,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.1714,-9.9658,-9.9658,-9.9658,-4.2934,-9.9658,-9.9658
