src,dest,EdgeType
0,2111,Gene-Geno-Gene-Tran
1,2112,Gene-Geno-Gene-Tran
2,2113,Gene-Geno-Gene-Tran
3,2114,Gene-Geno-Gene-Tran
4,2115,Gene-Geno-Gene-Tran
5,2116,Gene-Geno-Gene-Tran
6,2117,Gene-Geno-Gene-Tran
7,2118,Gene-Geno-Gene-Tran
8,2119,Gene-Geno-Gene-Tran
9,2120,Gene-Geno-Gene-Tran
10,2121,Gene-Geno-Gene-Tran
11,2122,Gene-Geno-Gene-Tran
12,2123,Gene-Geno-Gene-Tran
13,2124,Gene-Geno-Gene-Tran
14,2125,Gene-Geno-Gene-Tran
15,2126,Gene-Geno-Gene-Tran
16,2127,Gene-Geno-Gene-Tran
17,2128,Gene-Geno-Gene-Tran
18,2129,Gene-Geno-Gene-Tran
19,2130,Gene-Geno-Gene-Tran
20,2131,Gene-Geno-Gene-Tran
21,2132,Gene-Geno-Gene-Tran
22,2133,Gene-Geno-Gene-Tran
23,2134,Gene-Geno-Gene-Tran
24,2135,Gene-Geno-Gene-Tran
25,2136,Gene-Geno-Gene-Tran
26,2137,Gene-Geno-Gene-Tran
27,2138,Gene-Geno-Gene-Tran
28,2139,Gene-Geno-Gene-Tran
29,2140,Gene-Geno-Gene-Tran
30,2141,Gene-Geno-Gene-Tran
31,2142,Gene-Geno-Gene-Tran
32,2143,Gene-Geno-Gene-Tran
33,2144,Gene-Geno-Gene-Tran
34,2145,Gene-Geno-Gene-Tran
35,2146,Gene-Geno-Gene-Tran
36,2147,Gene-Geno-Gene-Tran
37,2148,Gene-Geno-Gene-Tran
38,2149,Gene-Geno-Gene-Tran
39,2150,Gene-Geno-Gene-Tran
40,2151,Gene-Geno-Gene-Tran
41,2152,Gene-Geno-Gene-Tran
42,2153,Gene-Geno-Gene-Tran
43,2154,Gene-Geno-Gene-Tran
44,2155,Gene-Geno-Gene-Tran
45,2156,Gene-Geno-Gene-Tran
46,2157,Gene-Geno-Gene-Tran
47,2158,Gene-Geno-Gene-Tran
48,2159,Gene-Geno-Gene-Tran
49,2160,Gene-Geno-Gene-Tran
50,2161,Gene-Geno-Gene-Tran
51,2162,Gene-Geno-Gene-Tran
52,2163,Gene-Geno-Gene-Tran
53,2164,Gene-Geno-Gene-Tran
54,2165,Gene-Geno-Gene-Tran
55,2166,Gene-Geno-Gene-Tran
56,2167,Gene-Geno-Gene-Tran
57,2168,Gene-Geno-Gene-Tran
58,2169,Gene-Geno-Gene-Tran
59,2170,Gene-Geno-Gene-Tran
60,2171,Gene-Geno-Gene-Tran
61,2172,Gene-Geno-Gene-Tran
62,2173,Gene-Geno-Gene-Tran
63,2174,Gene-Geno-Gene-Tran
64,2175,Gene-Geno-Gene-Tran
65,2176,Gene-Geno-Gene-Tran
66,2177,Gene-Geno-Gene-Tran
67,2178,Gene-Geno-Gene-Tran
68,2179,Gene-Geno-Gene-Tran
69,2180,Gene-Geno-Gene-Tran
70,2181,Gene-Geno-Gene-Tran
71,2182,Gene-Geno-Gene-Tran
72,2183,Gene-Geno-Gene-Tran
73,2184,Gene-Geno-Gene-Tran
74,2185,Gene-Geno-Gene-Tran
75,2186,Gene-Geno-Gene-Tran
76,2187,Gene-Geno-Gene-Tran
77,2188,Gene-Geno-Gene-Tran
78,2189,Gene-Geno-Gene-Tran
79,2190,Gene-Geno-Gene-Tran
80,2191,Gene-Geno-Gene-Tran
81,2192,Gene-Geno-Gene-Tran
82,2193,Gene-Geno-Gene-Tran
83,2194,Gene-Geno-Gene-Tran
84,2195,Gene-Geno-Gene-Tran
85,2196,Gene-Geno-Gene-Tran
86,2197,Gene-Geno-Gene-Tran
87,2198,Gene-Geno-Gene-Tran
88,2199,Gene-Geno-Gene-Tran
89,2200,Gene-Geno-Gene-Tran
90,2201,Gene-Geno-Gene-Tran
91,2202,Gene-Geno-Gene-Tran
92,2203,Gene-Geno-Gene-Tran
93,2204,Gene-Geno-Gene-Tran
94,2205,Gene-Geno-Gene-Tran
