src,dest,EdgeType
4240,5520,Gene-Prot-Gene-Prot
4240,5521,Gene-Prot-Gene-Prot
4240,5522,Gene-Prot-Gene-Prot
4240,6127,Gene-Prot-Gene-Prot
4241,5520,Gene-Prot-Gene-Prot
4241,5521,Gene-Prot-Gene-Prot
4241,5522,Gene-Prot-Gene-Prot
4241,6127,Gene-Prot-Gene-Prot
4242,4245,Gene-Prot-Gene-Prot
4242,4407,Gene-Prot-Gene-Prot
4242,5432,Gene-Prot-Gene-Prot
4242,5434,Gene-Prot-Gene-Prot
4242,5435,Gene-Prot-Gene-Prot
4242,5436,Gene-Prot-Gene-Prot
4242,5437,Gene-Prot-Gene-Prot
4242,5439,Gene-Prot-Gene-Prot
4242,5542,Gene-Prot-Gene-Prot
4242,6069,Gene-Prot-Gene-Prot
4242,6070,Gene-Prot-Gene-Prot
4242,6071,Gene-Prot-Gene-Prot
4242,6073,Gene-Prot-Gene-Prot
4242,6076,Gene-Prot-Gene-Prot
4243,6070,Gene-Prot-Gene-Prot
4243,6071,Gene-Prot-Gene-Prot
4244,6070,Gene-Prot-Gene-Prot
4244,6071,Gene-Prot-Gene-Prot
4245,6070,Gene-Prot-Gene-Prot
4245,6071,Gene-Prot-Gene-Prot
4246,6070,Gene-Prot-Gene-Prot
4246,6071,Gene-Prot-Gene-Prot
4247,5573,Gene-Prot-Gene-Prot
4247,5574,Gene-Prot-Gene-Prot
4247,5575,Gene-Prot-Gene-Prot
4247,5576,Gene-Prot-Gene-Prot
4248,5813,Gene-Prot-Gene-Prot
4248,5814,Gene-Prot-Gene-Prot
4248,5815,Gene-Prot-Gene-Prot
4250,5813,Gene-Prot-Gene-Prot
4250,5814,Gene-Prot-Gene-Prot
4250,5815,Gene-Prot-Gene-Prot
4251,5813,Gene-Prot-Gene-Prot
4251,5814,Gene-Prot-Gene-Prot
4251,5815,Gene-Prot-Gene-Prot
4252,5813,Gene-Prot-Gene-Prot
4252,5814,Gene-Prot-Gene-Prot
4252,5815,Gene-Prot-Gene-Prot
4253,5813,Gene-Prot-Gene-Prot
4253,5814,Gene-Prot-Gene-Prot
4253,5815,Gene-Prot-Gene-Prot
4254,5813,Gene-Prot-Gene-Prot
4254,5814,Gene-Prot-Gene-Prot
4254,5815,Gene-Prot-Gene-Prot
4255,5813,Gene-Prot-Gene-Prot
4255,5814,Gene-Prot-Gene-Prot
4255,5815,Gene-Prot-Gene-Prot
4256,5813,Gene-Prot-Gene-Prot
4256,5814,Gene-Prot-Gene-Prot
4256,5815,Gene-Prot-Gene-Prot
4257,5813,Gene-Prot-Gene-Prot
4257,5814,Gene-Prot-Gene-Prot
4257,5815,Gene-Prot-Gene-Prot
4258,4259,Gene-Prot-Gene-Prot
4258,4265,Gene-Prot-Gene-Prot
4258,4274,Gene-Prot-Gene-Prot
4258,4745,Gene-Prot-Gene-Prot
4258,4747,Gene-Prot-Gene-Prot
4258,4909,Gene-Prot-Gene-Prot
4258,4956,Gene-Prot-Gene-Prot
4258,4962,Gene-Prot-Gene-Prot
4258,4997,Gene-Prot-Gene-Prot
4258,5095,Gene-Prot-Gene-Prot
4258,5097,Gene-Prot-Gene-Prot
4258,5361,Gene-Prot-Gene-Prot
4258,5456,Gene-Prot-Gene-Prot
4258,5583,Gene-Prot-Gene-Prot
4258,5850,Gene-Prot-Gene-Prot
4258,6258,Gene-Prot-Gene-Prot
4258,6287,Gene-Prot-Gene-Prot
4259,4974,Gene-Prot-Gene-Prot
4261,4262,Gene-Prot-Gene-Prot
4261,4263,Gene-Prot-Gene-Prot
4262,4457,Gene-Prot-Gene-Prot
4262,5755,Gene-Prot-Gene-Prot
4262,6126,Gene-Prot-Gene-Prot
4263,4457,Gene-Prot-Gene-Prot
4263,5755,Gene-Prot-Gene-Prot
4263,6126,Gene-Prot-Gene-Prot
4264,4968,Gene-Prot-Gene-Prot
4264,4969,Gene-Prot-Gene-Prot
4264,4970,Gene-Prot-Gene-Prot
4265,4971,Gene-Prot-Gene-Prot
4265,4973,Gene-Prot-Gene-Prot
4265,4974,Gene-Prot-Gene-Prot
4266,4971,Gene-Prot-Gene-Prot
4266,4973,Gene-Prot-Gene-Prot
4266,4974,Gene-Prot-Gene-Prot
4267,4968,Gene-Prot-Gene-Prot
4267,4969,Gene-Prot-Gene-Prot
4267,4970,Gene-Prot-Gene-Prot
4268,4963,Gene-Prot-Gene-Prot
4268,4964,Gene-Prot-Gene-Prot
4268,4965,Gene-Prot-Gene-Prot
4268,4966,Gene-Prot-Gene-Prot
4268,4967,Gene-Prot-Gene-Prot
4268,4973,Gene-Prot-Gene-Prot
4268,5809,Gene-Prot-Gene-Prot
4268,5810,Gene-Prot-Gene-Prot
4268,5811,Gene-Prot-Gene-Prot
4268,5812,Gene-Prot-Gene-Prot
4268,5816,Gene-Prot-Gene-Prot
4268,5817,Gene-Prot-Gene-Prot
