gene_name,TCGA-BF-A1PU-01,TCGA-BF-A1PX-01,TCGA-BF-A1PZ-01,TCGA-BF-A3DJ-01,TCGA-BF-A3DL-01,TCGA-BF-A3DM-01,TCGA-BF-A3DN-01,TCGA-BF-A5EO-01,TCGA-BF-A5EP-01,TCGA-BF-A5EQ-01,TCGA-BF-A5ER-01,TCGA-BF-A5ES-01,TCGA-D9-A3Z4-01,TCGA-D9-A4Z3-01,TCGA-D9-A4Z5-01,TCGA-EB-A1NK-01,TCGA-EB-A24C-01,TCGA-EB-A24D-01,TCGA-EB-A299-01,TCGA-EB-A3HV-01,TCGA-EB-A3XB-01,TCGA-EB-A3XC-01,TCGA-EB-A3XD-01,TCGA-EB-A3XE-01,TCGA-EB-A3XF-01,TCGA-EB-A3Y6-01,TCGA-EB-A3Y7-01,TCGA-EB-A41A-01,TCGA-EB-A41B-01,TCGA-EB-A42Y-01,TCGA-EB-A42Z-01,TCGA-EB-A430-01,TCGA-EB-A431-01,TCGA-EB-A44N-01,TCGA-EB-A44O-01,TCGA-EB-A44P-01,TCGA-EB-A4IQ-01,TCGA-EB-A4IS-01,TCGA-EB-A4OY-01,TCGA-EB-A4OZ-01,TCGA-EB-A4XL-01,TCGA-EB-A550-01,TCGA-EB-A551-01,TCGA-EB-A553-01,TCGA-EB-A5FP-01,TCGA-ER-A194-01,TCGA-ER-A196-01,TCGA-ER-A19K-01,TCGA-ER-A19T-01,TCGA-ER-A2NB-01,TCGA-ER-A2NF-01,TCGA-ER-A42H-01,TCGA-FR-A3R1-01,TCGA-FS-A1ZN-01,TCGA-GF-A2C7-01,TCGA-GN-A263-01,TCGA-GN-A26C-01,TCGA-HR-A5NC-01,TCGA-IH-A3EA-01
ACSBG1,-0.5973,2.2019,0.0158,4.9103,-1.0862,5.6832,1.7744,1.8242,-1.2828,-0.6416,-3.3076,2.4727,0.4233,0.2762,0.434,-0.8339,0.03,-4.6082,0.8568,3.7083,3.8136,2.6302,2.5213,-0.3383,0.5069,3.1294,2.1798,-1.7809,-0.0877,-2.8262,3.8581,0.2642,2.6738,2.2206,2.727,4.5255,1.9073,-0.7834,2.4198,2.0004,0.7664,2.5511,-2.3884,-4.6082,-1.5951,-9.9658,-0.4521,-1.2142,4.3484,0.1388,-1.2142,3.5839,-2.9324,1.5563,2.1766,-3.816,1.9564,0.7407,-2.2447
ACSBG2,-9.9658,-9.9658,-9.9658,-5.0116,-3.816,-6.5064,-5.0116,-9.9658,-9.9658,-4.6082,-9.9658,-9.9658,-2.3884,-5.0116,-9.9658,-9.9658,-9.9658,-2.3147,-9.9658,-4.035,-3.816,-9.9658,-4.035,-9.9658,-3.458,-6.5064,-3.6259,-4.2934,-4.035,-6.5064,-4.035,-9.9658,-4.6082,-4.2934,-3.0469,-2.5479,-3.1714,-5.0116,-4.6082,-9.9658,-3.6259,-3.6259,-2.7274,-9.9658,-4.035,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-4.035,-4.035,-3.1714,-4.2934,-5.5735,-3.816,-9.9658
ACSL1,4.4726,4.6804,4.5161,4.2556,5.5847,4.8314,3.7248,3.695,4.6282,5.2925,3.1797,4.9792,5.0423,3.66,2.9893,6.1239,4.1425,2.4518,5.0286,4.5255,3.7127,5.4019,6.3688,4.7485,4.2396,4.9732,3.3993,4.6916,3.5584,6.1129,5.0479,3.2722,4.7714,5.2525,4.7115,5.2743,5.2231,4.0462,1.5165,3.9031,4.5571,5.9612,3.7345,4.6674,5.1803,1.5165,5.3555,5.2858,3.1781,3.9079,3.4778,3.6486,4.4977,4.7458,4.437,5.698,3.2466,4.7334,3.4075
ACSL3,6.9786,6.0191,6.5492,5.7851,6.1212,7.5203,7.5305,5.8817,7.3655,5.4476,5.0202,7.4086,6.1192,4.1474,3.8954,6.5932,6.0529,5.972,5.6602,4.9805,6.9814,6.4243,5.0383,5.3313,6.102,6.8375,5.6271,4.4654,5.5088,5.3827,6.5515,6.1831,7.2693,6.0092,7.4979,5.365,4.9528,5.1796,3.0602,3.8421,6.0614,5.2415,6.2108,3.6816,7.3369,4.2297,6.0479,8.083,4.9141,3.0842,4.944,4.9308,7.045,5.4026,6.379,8.6534,5.4683,7.1537,5.511
ACSL4,2.3981,2.3366,2.6043,3.6669,1.6093,3.245,4.309,0.5069,1.9264,2.8799,-0.4131,2.376,3.5706,3.3464,1.614,2.4779,4.1571,3.8208,2.2573,2.05,3.7302,3.2781,1.2209,1.6234,4.1409,3.5124,-0.1345,2.9281,2.3788,3.8461,3.5839,2.6418,4.4128,3.5098,4.917,3.7867,2.6161,3.453,-0.5543,0.2642,3.0428,2.4831,3.6703,2.0569,4.0558,-0.8863,3.9099,3.9524,3.6827,-0.5756,3.5136,3.027,4.554,3.9929,3.3633,3.9709,3.8075,3.4318,2.0004
ACSL5,0.1519,2.1444,-0.6873,0.7999,-0.6416,1.4281,0.7407,-0.2159,-1.3183,1.1577,-0.6873,0.1648,4.0977,-0.4131,0.679,0.4552,0.2029,0.2762,0.8327,0.4967,0.0158,0.7233,2.3019,0.688,2.7847,0.2154,-1.1811,-1.6394,-0.6643,1.8363,0.24,0.4967,0.605,1.5064,-0.1828,-0.5973,-0.6643,2.694,-1.4305,1.2934,2.3423,0.099,2.1247,0.0014,-1.1172,1.1117,-0.9406,0.03,-1.6394,-0.8599,1.7954,-0.1031,0.3685,-0.4921,-0.3201,0.537,2.3019,0.5568,-0.4325
ACSL6,-7.287,-6.21585,-6.21585,-3.04395,-7.76965,-5.09085,-3.8132,-9.9658,-6.21585,-7.1296,-9.9658,-9.9658,-3.3409,-3.9091,-6.177099999999999,-6.177099999999999,-5.8986,-7.0004,-5.98,-6.506349999999999,-7.76965,-4.8099,-6.3466,-5.8026,-6.039899999999999,-4.7194,-9.9658,-9.9658,-2.87,-6.10525,-6.506349999999999,-4.60395,-7.0004,-5.759,-7.4887,-7.287,-7.0004,-6.25685,-6.039899999999999,-7.287,-6.7119,-6.00935,-6.5686,-7.0004,-9.9658,-8.2361,-9.9658,-9.9658,-5.73815,-8.2361,-6.4491,-5.759,-4.5997,-7.287,-5.4395,-6.03995,-6.07185,-7.1296,-9.9658
ACTA2,7.3275,6.3477,4.5742,3.773,6.8778,6.7255,6.9613,6.4466,5.6183,5.9127,5.9201,5.6528,5.8958,4.306,6.9458,7.4141,6.5929,5.6659,5.4585,6.7462,5.0811,5.9858,7.6394,7.3586,6.4866,7.4534,6.542,4.0782,5.302,6.0257,5.5364,5.5952,3.4331,6.155,4.8038,3.793,6.2294,5.5503,6.3172,5.6977,5.6014,5.5438,6.8686,5.5154,5.3466,6.9765,5.8212,4.756,5.7538,5.7504,5.0471,6.7455,4.8515,5.8215,5.1347,6.8354,5.916,6.4501,5.9143
ACTB,12.2596,11.8256,11.3587,11.4021,12.1224,11.2648,11.2909,12.5225,11.3028,11.5475,12.1731,12.2908,10.9004,10.1613,10.8559,12.2,10.5981,10.9459,11.4603,11.5975,11.1061,11.9452,11.7733,11.9266,11.7665,11.2232,12.7867,11.05,10.5111,11.8798,11.4141,11.3017,10.3888,11.3097,11.8609,11.3041,11.6728,11.3915,11.6153,12.4407,11.078,11.1895,11.0524,12.9162,11.1427,11.5336,11.9502,11.3689,10.8095,12.1574,10.5601,11.7639,11.3158,11.041,11.6418,12.862,12.2626,11.2451,12.4437
ACTG1,12.8375,11.4185,11.9218,11.2407,10.9366,11.5502,11.0947,11.588,11.1582,11.3364,11.9355,12.1133,11.3947,12.5461,12.0617,12.3463,11.5215,11.4337,10.7903,11.3319,11.2031,11.0106,11.512,11.6701,11.6564,11.2717,12.4496,11.5124,11.6756,11.2144,11.3613,11.087,11.8023,10.9324,12.1133,11.629,11.663,11.3038,11.6794,10.9709,10.819,11.2126,10.3107,9.2854,10.8113,11.0552,11.8207,11.8762,11.8274,11.4443,11.1748,10.4618,10.9389,11.4203,10.9788,11.1165,10.7552,11.6939,12.1301
ACVR1,4.3413,3.2617,3.7443,4.182,3.345,4.6065,4.9626,3.8167,4.4569,4.1011,3.0127,3.4264,3.4569,3.551,4.594,3.8391,3.7226,2.1247,3.7773,4.1563,3.9496,4.838,3.7193,3.3591,4.7307,3.7815,1.0503,4.0304,3.5959,4.7285,4.4088,2.8681,3.773,3.8085,4.2119,4.0756,4.3213,3.9571,1.3901,2.3536,4.197,4.0001,3.87,1.2576,4.0144,1.2394,4.4081,3.8401,3.5224,1.9564,2.8916,2.7465,5.3702,4.3292,3.5498,3.8421,4.4868,4.3169,4.1978
ACVR1B,2.1444,3.8601,3.0323,3.2435,2.8799,3.0791,2.7594,3.0825,2.3451,2.9319,2.8096,2.328,2.8641,2.0289,3.9719,2.3222,3.2617,2.8897,3.4358,2.9507,2.5996,2.5585,4.0278,2.1213,2.8779,2.043,2.3251,2.6918,2.8602,2.6693,1.9226,2.667,2.5756,3.2511,2.9839,2.753,3.0498,2.7487,2.1247,2.7444,3.162,3.5287,2.5061,1.736,2.6464,2.7657,3.6324,2.6019,3.7762,2.167,2.3953,2.3193,2.3732,2.7636,2.971,1.7097,2.3366,2.6441,2.1798
ACVR1C,-5.5735,-2.2447,-5.0116,-1.3921,-6.5064,-0.5973,-3.6259,-3.0469,0.1776,-3.0469,-1.5951,-3.3076,-3.3076,-0.7588,-6.5064,-0.1828,-3.0469,-3.6259,-3.816,-5.0116,-0.1665,-1.8836,-2.6349,-2.5479,-1.3183,-1.5105,-2.6349,-2.1779,-0.0877,-4.2934,-1.1811,-3.6259,-0.9686,-0.5543,0.1257,-1.9379,0.605,-1.685,-5.5735,-4.6082,-4.6082,-1.9379,-0.6873,-2.6349,0.0718,-9.9658,-3.3076,-1.5105,-2.4659,-4.2934,-2.4659,-2.8262,-6.5064,-1.4699,-0.9686,-1.7809,-2.7274,-0.4921,-1.6394
ACVR2A,0.4233,1.3623,1.177,1.6466,-0.2159,2.8602,2.0569,-0.9132,1.3397,1.3567,-0.6416,0.2154,2.1345,1.334,1.4441,-0.0725,1.1897,1.196,2.0878,0.9038,1.2696,1.5415,1.6187,0.9493,2.4279,1.2875,-0.8863,1.3791,0.7916,1.8524,0.547,-0.1828,0.434,1.7141,0.4865,1.766,1.1117,1.4494,-0.6193,0.3907,2.1476,2.4306,1.2636,-0.5543,0.8568,-0.5973,1.4011,0.9343,2.5137,-1.0862,1.3397,1.5514,1.3109,1.642,1.7744,1.0847,1.6187,2.2543,-0.4131
ACVR2B,0.2762,-0.5332,0.1257,0.6969,0.6608,1.412,-0.2159,0.6332,0.8327,0.4125,0.9716,0.0158,1.2934,2.0742,-0.1187,0.679,2.3592,1.766,-0.1345,-0.1345,1.642,3.2526,-0.0725,0.1124,0.24,0.2642,1.5465,0.9268,1.9302,1.0915,-0.1031,0.4967,1.7141,-0.5332,1.0007,0.434,0.2154,0.4967,1.1897,-1.0262,0.4761,-0.6873,1.196,-1.5522,1.0293,-0.5125,0.7579,0.4761,2.0946,-2.1779,-0.1345,1.1641,0.0718,0.3231,0.5666,-0.4521,-0.3201,-0.9686,1.2085
ADAM17,1.8363,2.7572,2.2842,3.74,1.2271,5.1081,3.7961,1.5612,3.2405,2.7868,1.5758,2.1013,3.0376,2.872,3.222,2.3423,2.5972,2.3732,2.7007,2.7314,2.4985,3.506,2.362,1.0711,3.0671,2.6371,0.3115,2.5804,3.1876,4.0515,3.4569,0.5069,2.8076,3.2647,3.7138,2.9637,2.8542,2.93,-0.4921,0.2881,2.9857,3.5473,3.6242,0.4865,3.1604,0.03,3.4129,3.0791,3.5337,-0.3566,2.128,2.2082,3.5498,3.3061,3.5584,1.884,4.3499,3.3264,1.6558
ADCY1,4.5748,2.5437,2.8799,3.5274,3.8013,3.3925,4.0969,2.8178,3.6382,1.8604,3.7421,2.5561,2.3366,2.5561,-2.0529,4.8141,3.5535,-1.0262,1.9712,2.7826,3.5411,5.2788,0.9716,3.3076,0.3907,2.6984,0.7058,-3.1714,1.674,2.376,4.7404,2.9765,3.9783,1.3567,2.5188,3.8983,3.4411,2.7314,-1.3183,0.2998,3.1797,0.1388,1.9264,2.5511,4.1044,-0.6643,3.1924,1.5266,1.2209,0.6145,-2.3884,2.5996,4.565,2.2113,3.0808,0.3115,0.1257,-3.0469,2.2663
ADCY10,-6.5064,-9.9658,-3.816,-4.6082,-9.9658,-4.2934,-4.6082,-9.9658,-9.9658,-4.6082,-9.9658,-3.458,-4.6082,-4.6082,-9.9658,-4.2934,-6.5064,-3.1714,-5.5735,-9.9658,-6.5064,-6.5064,-6.5064,-4.6082,-9.9658,-6.5064,-3.458,-5.5735,-4.6082,-4.035,-4.035,-9.9658,-9.9658,-4.2934,-4.035,-6.5064,-9.9658,-5.0116,-9.9658,-9.9658,-9.9658,-4.2934,-6.5064,-4.6082,-9.9658,-5.0116,-9.9658,-6.5064,-6.5064,-9.9658,-9.9658,-6.5064,-9.9658,-4.6082,-9.9658,-9.9658,-5.0116,-5.5735,-9.9658
ADCY2,0.7579,-1.0262,0.2029,1.595,-1.0559,3.6589,-0.0725,0.8488,4.7835,2.7657,2.0254,3.8401,-3.3076,-1.0862,-6.5064,4.6189,0.058,-3.816,3.0842,2.0707,4.842,3.7269,4.6253,1.6281,-2.1779,5.2258,3.3163,1.595,0.6332,6.1069,2.1444,4.7651,4.1716,2.5828,3.2158,3.7443,3.7699,-1.2142,-1.3921,1.1897,0.3231,-0.1187,2.8936,-3.3076,3.5875,-4.6082,3.4183,3.6691,2.667,-4.6082,-1.9379,1.5514,-6.5064,0.2154,-1.5522,2.7972,-5.0116,3.4739,2.4412
ADCY3,3.4569,4.441,4.4647,5.2064,2.7357,4.281,4.3133,5.5671,5.2664,4.4483,3.728,3.7116,4.905,4.9454,4.3992,5.3313,1.8762,2.2753,4.5657,4.1302,3.7259,4.8944,5.2246,4.3674,4.8822,3.8044,5.3147,4.0884,4.9892,4.9374,5.2679,3.9838,2.6348,4.5072,4.8345,5.1023,4.6983,4.6645,3.2096,4.1194,5.2028,4.041,3.8886,2.3337,4.8684,0.7146,4.9978,3.6359,4.182,3.7345,3.4411,3.9801,3.3177,3.3478,4.6,3.0252,4.6387,3.551,2.4908
ADCY4,0.8488,1.7575,-1.2828,0.0014,0.3573,-1.2481,1.4494,-0.1504,-0.7346,0.9716,0.2154,-1.0559,0.4233,-1.2481,-0.5125,0.9419,-0.1504,0.2881,1.7912,0.5955,0.4447,0.8568,2.676,1.0151,0.6517,0.7407,0.605,-1.0262,-1.3548,0.5568,0.2998,-0.2159,0.2277,1.8604,-0.1828,-0.2845,1.2934,1.3735,-0.3383,2.2901,1.0573,1.2636,0.7916,2.2872,-0.6193,1.125,-0.1993,0.1903,-0.5973,-1.5105,-0.3566,0.8647,-1.3183,-1.4699,0.2998,1.0293,0.0158,1.4065,-0.6193
ADCY5,-0.6416,-3.3076,-2.2447,-3.458,-3.1714,-0.5543,-0.3383,-2.3147,-2.2447,-2.114,-3.816,-6.5064,0.9568,-2.8262,-1.685,-2.2447,-5.0116,-1.5522,-2.1779,-1.7809,-4.035,-3.458,0.9419,-0.4719,-2.7274,-1.7809,-3.816,-3.6259,-1.8314,-3.816,-3.1714,0.517,-1.6394,-2.0529,-3.3076,-2.0529,-1.6394,-0.6643,0.1519,-3.458,-2.7274,-1.3548,-1.8836,-3.3076,-4.6082,-4.2934,-2.6349,-3.6259,2.8402,-2.4659,-1.8836,-2.2447,-3.816,-2.1779,-1.2828,-5.0116,-3.3076,-1.9942,-5.5735
ADCY6,3.2112,2.3394,3.3235,4.8263,4.47,2.9262,3.3952,4.5711,3.0619,3.1162,4.5286,2.8838,3.9608,3.6759,3.8187,2.9911,3.8827,3.1556,3.0619,3.1844,4.5705,2.3592,3.4197,2.1378,3.4075,3.0533,3.9204,3.5399,3.1261,3.011,3.0252,4.3477,5.3758,3.5645,5.4944,3.9213,2.8582,3.8279,1.2271,2.0076,3.6703,3.7335,2.8974,2.5213,3.9599,1.8879,3.0995,3.1095,4.9232,0.6608,3.453,3.9421,4.0322,4.0985,3.837,2.1047,2.1509,2.909,3.1377
ADCY7,0.7233,2.1957,-0.4921,2.1411,1.3791,0.7233,1.2085,1.1833,1.0433,0.9862,-1.685,0.517,2.7763,2.0535,1.2815,0.9716,0.5763,1.8879,1.9564,2.128,0.2029,1.0779,2.5756,-0.1187,2.3135,0.2881,0.7579,-1.2481,1.5366,0.6332,1.2992,-0.2328,1.1641,2.5634,3.2511,0.8246,1.6964,3.2405,-1.5522,0.9716,1.4547,2.3926,2.7161,-0.0277,1.1641,-0.6416,2.578,0.679,1.3846,1.2992,2.5683,1.642,0.1124,0.434,-0.0725,-1.8314,2.0004,2.3898,0.2998
ADCY8,-5.0116,-3.0469,-9.9658,-5.5735,4.7296,-0.7588,-9.9658,-5.0116,-9.9658,-5.5735,-9.9658,-9.9658,-3.3076,-6.5064,-5.0116,-9.9658,-5.5735,-9.9658,-1.4305,-3.6259,-9.9658,-9.9658,-0.1504,-9.9658,-9.9658,-3.458,-9.9658,-9.9658,-6.5064,-1.6394,-9.9658,-5.5735,-6.5064,-2.2447,-9.9658,-9.9658,-9.9658,-3.0469,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-5.5735,-9.9658,-6.5064,-9.9658,-9.9658,-3.1714,-9.9658,-9.9658,-3.816,-5.5735,-9.9658,-9.9658,-9.9658,-4.6082,-5.5735,-9.9658
ADCY9,2.5972,3.0287,2.5511,2.6556,1.9149,2.7636,2.9802,3.3521,2.296,3.6804,2.6302,3.1145,2.5561,2.5948,3.795,3.3911,3.1095,2.5511,1.3735,2.8341,2.4908,1.787,3.2374,2.8321,2.3394,2.7572,2.3019,2.1247,2.7314,2.9148,2.3592,0.8164,2.4306,2.3479,2.3704,2.1313,3.8116,2.4779,3.1228,1.4704,1.8242,2.1925,2.9544,1.3567,2.0004,2.6647,3.1228,2.1925,3.9137,1.1117,2.1147,3.7226,2.2019,2.7993,3.2707,0.7407,1.5415,4.3364,0.8647
ADCYAP1,-2.1779,-0.6643,-6.5064,-1.0862,-9.9658,-5.5735,-1.9942,-9.9658,-2.4659,-5.5735,-3.816,-4.2934,-3.0469,-9.9658,-5.5735,-1.9942,-5.5735,-4.2934,-2.114,-3.816,-2.5479,-2.2447,-2.3147,-1.6394,-4.035,-5.5735,-9.9658,-9.9658,-2.9324,-9.9658,-1.0559,-5.5735,-9.9658,-0.8084,-6.5064,-4.035,-3.6259,-2.7274,-6.5064,-2.0529,-1.7809,-5.5735,-5.5735,-5.5735,-9.9658,-2.5479,-3.0469,-1.0559,-5.0116,-3.458,-2.9324,-5.0116,-9.9658,-4.2934,-0.1504,-6.5064,-9.9658,-3.458,-9.9658
ADCYAP1R1,-2.2447,-0.3383,-6.5064,-2.1779,-1.7322,-4.035,-0.3566,-4.035,-2.7274,-2.5479,-1.9379,-5.5735,-5.0116,-3.6259,-5.0116,-2.1779,-3.6259,-4.6082,-2.7274,-1.7322,-1.8836,-4.2934,-0.013,-1.9942,-3.6259,-5.0116,-3.0469,-5.5735,-5.0116,-1.6394,-1.8836,-6.5064,-2.6349,-0.3201,-3.458,-4.6082,-3.816,-3.816,-4.035,-2.8262,-2.7274,-3.1714,-6.5064,-3.3076,-4.035,-3.1714,-5.0116,-3.1714,2.3394,-3.458,-2.114,-3.0469,-4.035,-4.6082,0.679,-3.6259,-5.0116,-2.2447,-4.6082
ADGRB1,3.0498,-1.0559,-0.1665,2.2753,-5.5735,-1.6394,1.4065,0.1257,2.6895,-1.3183,-0.5543,-2.1779,2.4571,6.0193,-0.6416,-2.2447,-2.3147,0.3346,-0.2498,4.5522,-1.3548,-2.114,-0.9132,-0.6643,1.105,2.108,0.1776,-4.6082,2.2299,-2.7274,5.5379,-1.9379,-2.6349,0.7146,-1.2142,0.2154,-0.3022,-1.5951,3.6578,-0.9971,-1.4699,2.7742,-2.2447,-0.3022,-2.9324,-3.0469,0.1776,-2.8262,1.4388,-0.7834,-1.3921,-0.5125,-3.816,-2.2447,0.517,-4.6082,-0.9686,3.9865,-1.9942
