gene_name,TCGA-BF-A1PU-01,TCGA-BF-A1PX-01,TCGA-BF-A1PZ-01,TCGA-BF-A3DJ-01,TCGA-BF-A3DL-01,TCGA-BF-A3DM-01,TCGA-BF-A3DN-01,TCGA-BF-A5EO-01,TCGA-BF-A5EP-01,TCGA-BF-A5EQ-01,TCGA-BF-A5ER-01,TCGA-BF-A5ES-01,TCGA-D9-A3Z4-01,TCGA-D9-A4Z3-01,TCGA-D9-A4Z5-01,TCGA-EB-A1NK-01,TCGA-EB-A24C-01,TCGA-EB-A24D-01,TCGA-EB-A299-01,TCGA-EB-A3HV-01,TCGA-EB-A3XB-01,TCGA-EB-A3XC-01,TCGA-EB-A3XD-01,TCGA-EB-A3XE-01,TCGA-EB-A3XF-01,TCGA-EB-A3Y6-01,TCGA-EB-A3Y7-01,TCGA-EB-A41A-01,TCGA-EB-A41B-01,TCGA-EB-A42Y-01,TCGA-EB-A42Z-01,TCGA-EB-A430-01,TCGA-EB-A431-01,TCGA-EB-A44N-01,TCGA-EB-A44O-01,TCGA-EB-A44P-01,TCGA-EB-A4IQ-01,TCGA-EB-A4IS-01,TCGA-EB-A4OY-01,TCGA-EB-A4OZ-01,TCGA-EB-A4XL-01,TCGA-EB-A550-01,TCGA-EB-A551-01,TCGA-EB-A553-01,TCGA-EB-A5FP-01,TCGA-ER-A194-01,TCGA-ER-A196-01,TCGA-ER-A19K-01,TCGA-ER-A19T-01,TCGA-ER-A2NB-01,TCGA-ER-A2NF-01,TCGA-ER-A42H-01,TCGA-FR-A3R1-01,TCGA-FS-A1ZN-01,TCGA-GF-A2C7-01,TCGA-GN-A263-01,TCGA-GN-A26C-01,TCGA-HR-A5NC-01,TCGA-IH-A3EA-01
ABL1,5.5066,3.6324,4.0653,3.6382,4.9874,3.9108,5.0361,5.2869,3.9856,4.2343,5.1807,4.8866,4.741,2.7051,5.6259,5.1132,5.2518,3.7518,3.838,4.9514,3.2796,4.3632,4.5299,4.3604,4.1359,4.5015,4.8525,4.722,4.1302,5.1285,4.8084,4.2699,4.4509,4.5072,5.2529,4.5034,4.14,4.1891,4.8048,3.9223,4.0515,4.1587,3.0002,3.4358,4.287,5.439,4.7571,4.222,5.5245,2.874,5.3772,4.232,5.3259,5.4999,4.943,2.3222,4.4816,4.1433,4.4536
ABL2,4.0985,1.7912,4.7307,2.727,2.1541,2.6043,3.9617,3.0481,3.0002,4.5711,2.4171,3.6894,3.7518,2.9839,3.4291,3.0323,4.5614,3.6691,1.7702,1.8078,3.3897,3.38,3.6405,3.1844,3.7857,2.7805,2.6138,4.1211,1.9226,3.944,3.3773,2.3048,4.1252,3.1028,3.9673,3.5584,3.0944,4.431,2.6418,2.5363,1.9111,2.2482,3.5682,3.0723,3.4116,1.6466,4.0558,3.2677,3.551,1.3623,2.6161,3.863,4.2706,3.9002,4.6548,3.4881,3.8167,3.3993,3.4277
ACAA1,5.779,5.5982,5.5236,4.5565,6.0894,5.2954,5.4884,6.2352,5.4473,5.1006,4.8689,5.3198,5.4273,4.3569,4.2389,5.6938,6.4363,4.7866,5.8133,5.9869,5.6628,5.7401,5.6625,5.6247,5.5693,5.3335,5.7396,4.9561,5.1061,5.4787,5.9686,5.4407,5.6545,5.3723,5.0492,6.035,5.2052,5.5832,5.6528,5.618,5.1879,5.4216,5.3104,5.302,5.4101,5.4013,4.9402,4.8714,5.2358,5.6619,4.5754,5.4219,5.5817,5.4128,5.3975,4.5583,5.4142,4.7997,5.0251
ACACA,4.1069,3.9506,3.7888,4.2877,3.1179,3.9938,3.3364,2.909,2.9966,2.8897,4.1931,3.4752,3.8013,3.3017,2.9281,3.6714,4.0171,4.0892,3.5827,3.9002,2.7007,3.8769,3.8847,3.1145,3.6509,3.7709,3.3235,2.5996,3.9459,3.5073,3.9318,3.9204,3.0654,3.8085,3.1344,3.335,4.5429,4.2335,3.0181,3.0774,3.0217,4.248,3.2127,2.3222,3.7846,3.0978,3.9965,3.6474,3.3321,2.7615,3.034,3.4331,3.3745,3.6077,4.0515,3.5274,3.2374,4.0782,3.0944
ACACB,0.5955,0.8961,1.8282,0.8805,1.5316,1.7009,1.4652,2.233,1.2756,1.4388,1.5064,1.1641,1.8484,0.8327,1.0222,2.2723,0.7664,1.0151,1.3623,1.7489,2.496,2.1444,2.8014,-0.0574,1.0007,1.0573,2.9319,2.1894,1.8918,1.6093,1.7141,2.3251,3.0163,1.4911,4.4602,2.2019,0.1519,2.4753,0.4125,0.2881,1.2394,1.4335,2.1606,0.8961,1.7185,-0.3383,-1.0262,1.3454,2.2842,-2.0529,0.434,2.9128,-0.0425,2.1213,2.0076,0.2277,0.03,1.2023,0.2522
ACADL,-9.9658,-6.5064,-4.035,-9.9658,-9.9658,-3.6259,-5.5735,-9.9658,-6.5064,-9.9658,-9.9658,-6.5064,-4.035,-9.9658,-9.9658,-9.9658,-6.5064,-6.5064,-5.5735,-9.9658,-9.9658,-9.9658,-2.0529,-9.9658,-5.0116,-6.5064,-9.9658,-6.5064,-1.2142,-9.9658,-5.5735,-6.5064,-3.1714,-3.458,-3.1714,-9.9658,-9.9658,-2.5479,-6.5064,-9.9658,-5.5735,-4.6082,-4.2934,-9.9658,-6.5064,-3.1714,-6.5064,-9.9658,-6.5064,-6.5064,-6.5064,-6.5064,-9.9658,-4.6082,-9.9658,-9.9658,-9.9658,-6.5064,-5.5735
ACADM,3.2282,4.0858,4.9203,4.6949,2.9581,4.8846,4.8445,2.9071,4.957,4.4417,3.3293,4.225,5.2138,4.4556,3.8591,3.869,3.8431,4.5778,3.7345,2.0979,5.7706,5.6191,3.2959,1.7575,4.8973,5.1724,0.8805,5.1301,4.4894,4.3242,4.4996,4.6921,5.864,4.7565,4.9336,4.6416,3.7992,4.3075,1.1447,0.9642,4.421,4.3111,5.064,1.5758,4.7929,1.177,3.7825,4.5186,4.3463,1.0151,4.0901,5.0614,4.9364,4.9741,5.104,4.8575,5.1223,4.0497,3.2885
ACOX1,2.6185,3.4739,3.4143,3.5274,1.683,3.4358,3.4398,2.2268,3.5009,2.4985,1.8957,2.5948,2.7826,3.1717,4.2235,3.1426,3.3549,3.0757,3.66,2.6138,3.492,2.9319,3.5694,2.8117,3.2112,3.1311,2.8877,3.0323,2.9338,2.8442,3.0723,2.9784,4.0118,3.6883,3.4048,3.3492,3.3032,2.8799,2.4908,3.8808,3.4237,3.4958,3.4596,2.4623,3.421,2.9224,3.8441,3.6054,4.773,2.5707,3.0428,1.8078,3.3364,3.5851,3.1195,3.4894,2.6232,3.7888,1.7786
ACOX2,0.03,0.0854,-1.8836,1.0983,-1.2481,2.362,-0.1031,-1.2481,-1.4699,-0.3566,-1.4305,-1.4699,3.3278,-2.1779,-0.3022,-1.7322,-1.4305,-1.5522,2.2723,0.9935,-1.5951,1.2023,1.5266,0.0718,2.7636,0.9716,-2.3147,-1.685,-1.4305,-1.9942,-0.4325,3.4088,-1.9379,0.1388,-0.1031,-1.8314,-0.1665,-0.3022,-2.0529,0.7748,1.9415,-0.1031,-1.0262,-0.0574,-2.7274,-3.1714,-0.7834,-2.5479,-0.7588,-1.3183,0.7999,-1.3183,-1.8314,-1.2828,1.0007,0.2154,2.4597,-1.4305,-0.9971
ACOX3,3.0074,3.3897,3.4251,3.3577,3.4971,3.2236,2.9488,4.01,2.3926,3.4384,3.3619,3.6827,3.6497,2.0147,3.6207,4.2327,3.3828,3.6335,4.0136,3.29,4.0055,3.1876,4.5699,3.8788,4.085,4.0497,3.6759,3.2189,3.0358,3.705,3.4945,2.0535,2.9205,4.3148,3.2841,3.8228,4.38,3.335,2.7073,3.4609,3.1523,3.7149,2.7594,2.0147,2.4492,3.3549,3.3521,3.3047,1.4388,3.6782,2.7007,3.9792,2.5437,3.6961,3.4398,2.7615,2.7227,3.6838,3.6136
