gene_name,TCGA-BC-A10R-01,TCGA-BC-A10T-01,TCGA-BC-A10U-01,TCGA-BC-A10W-01,TCGA-BC-A10X-01,TCGA-BC-A10Y-01,TCGA-BC-A10Z-01,TCGA-BC-A216-01,TCGA-BC-A217-01,TCGA-BC-A3KF-01,TCGA-BC-A5W4-01,TCGA-BC-A69H-01,TCGA-BD-A2L6-01,TCGA-BD-A3EP-01,TCGA-BW-A5NO-01,TCGA-BW-A5NP-01,TCGA-BW-A5NQ-01,TCGA-CC-5258-01,TCGA-CC-5260-01,TCGA-CC-5262-01,TCGA-CC-5263-01,TCGA-CC-5264-01,TCGA-CC-A123-01,TCGA-CC-A1HT-01,TCGA-CC-A3M9-01,TCGA-CC-A3MA-01,TCGA-CC-A3MB-01,TCGA-CC-A3MC-01,TCGA-CC-A5UC-01,TCGA-CC-A5UD-01,TCGA-CC-A5UE-01,TCGA-CC-A7IF-01,TCGA-CC-A7IG-01,TCGA-CC-A7IH-01,TCGA-CC-A7II-01,TCGA-CC-A7IJ-01,TCGA-CC-A7IK-01,TCGA-CC-A7IL-01,TCGA-DD-A114-01,TCGA-DD-A115-01,TCGA-DD-A116-01,TCGA-DD-A118-01,TCGA-DD-A119-01,TCGA-DD-A11A-01,TCGA-DD-A11B-01,TCGA-DD-A11C-01,TCGA-DD-A11D-01,TCGA-DD-A1EB-01,TCGA-DD-A1EC-01,TCGA-DD-A1ED-01,TCGA-DD-A1EE-01,TCGA-DD-A1EF-01,TCGA-DD-A1EH-01,TCGA-DD-A1EJ-01,TCGA-DD-A1EL-01,TCGA-DD-A39V-01,TCGA-DD-A39W-01,TCGA-DD-A39X-01,TCGA-DD-A39Z-01,TCGA-DD-A3A2-01,TCGA-DD-A3A3-01,TCGA-DD-A3A4-01,TCGA-DD-A3A5-01,TCGA-DD-A3A7-01,TCGA-DD-A3A8-01,TCGA-DD-A3A9-01,TCGA-DD-A4NA-01,TCGA-DD-A4NB-01,TCGA-DD-A4ND-01,TCGA-DD-A4NE-01,TCGA-DD-A4NF-01,TCGA-DD-A4NG-01,TCGA-DD-A4NH-01,TCGA-DD-A4NI-01,TCGA-DD-A4NJ-01,TCGA-DD-A4NK-01,TCGA-DD-A4NN-01,TCGA-DD-A4NO-01,TCGA-DD-A4NP-01,TCGA-DD-A4NQ-01,TCGA-DD-A4NS-01,TCGA-DD-A73B-01,TCGA-DD-A73C-01,TCGA-DD-A73D-01,TCGA-DD-A73E-01,TCGA-DD-A73F-01,TCGA-DD-A73G-01,TCGA-ED-A459-01,TCGA-ED-A4XI-01,TCGA-ED-A5KG-01,TCGA-ED-A627-01,TCGA-ED-A66X-01,TCGA-ED-A66Y-01,TCGA-ED-A7PX-01,TCGA-ED-A7PY-01,TCGA-ED-A7PZ-01,TCGA-ED-A7XO-01,TCGA-ED-A7XP-01,TCGA-ED-A82E-01,TCGA-EP-A12J-01,TCGA-EP-A26S-01,TCGA-EP-A2KA-01,TCGA-EP-A2KB-01,TCGA-EP-A2KC-01,TCGA-EP-A3JL-01,TCGA-EP-A3RK-01,TCGA-ES-A2HS-01,TCGA-ES-A2HT-01,TCGA-FV-A23B-01,TCGA-FV-A2QQ-01,TCGA-FV-A2QR-01,TCGA-FV-A3R2-01,TCGA-FV-A3R3-01,TCGA-FV-A496-01,TCGA-FV-A4ZP-01,TCGA-FV-A4ZQ-01,TCGA-G3-A25S-01,TCGA-G3-A25U-01,TCGA-G3-A25V-01,TCGA-G3-A25Y-01,TCGA-G3-A25Z-01,TCGA-G3-A3CH-01,TCGA-G3-A3CI-01,TCGA-G3-A3CK-01,TCGA-G3-A5SJ-01,TCGA-G3-A5SK-01,TCGA-G3-A5SL-01,TCGA-G3-A5SM-01,TCGA-G3-A7M5-01,TCGA-G3-A7M6-01,TCGA-G3-A7M7-01,TCGA-G3-A7M8-01,TCGA-G3-A7M9-01,TCGA-HP-A5MZ-01,TCGA-HP-A5N0-01,TCGA-K7-A5RF-01,TCGA-K7-A5RG-01,TCGA-KR-A7K7-01,TCGA-LG-A6GG-01,TCGA-MR-A520-01,TCGA-NI-A4U2-01,TCGA-O8-A75V-01,TCGA-PD-A5DF-01,TCGA-RC-A6M6-01,TCGA-RG-A7D4-01,TCGA-UB-A7MB-01,TCGA-UB-A7MC-01,TCGA-UB-A7MD-01,TCGA-UB-A7MF-01
ABL1,2.5112,2.4332,2.1574,3.5136,2.0111,3.1261,2.8779,3.4778,2.3677,3.2405,2.0289,1.674,2.1013,3.1876,2.296,3.5935,2.7679,2.8502,4.7549,2.876,4.6759,3.7794,0.7493,3.6748,3.6335,4.2609,2.8034,3.1245,2.6371,3.7836,2.7721,2.2842,2.9525,3.0145,3.1669,4.4654,3.906,2.1476,4.2227,3.0654,1.125,3.242,1.3283,1.9527,2.2421,2.5634,2.3816,2.6556,4.0722,2.4117,3.6509,3.9299,3.9289,2.8301,3.0305,0.9115,2.7205,1.692,1.7273,1.8201,1.1117,2.5511,1.8604,1.2333,2.2237,2.2482,3.7378,3.616,3.2189,2.4171,2.824,2.9375,3.4894,2.3019,2.7073,2.7051,3.7992,2.7508,1.787,3.4129,3.6463,2.727,2.9618,2.236,3.5584,2.7379,1.6374,2.2206,3.1749,3.5559,3.4156,3.1426,4.1954,3.4007,2.4386,1.5758,2.5288,2.3019,4.0392,3.6669,3.1797,2.2452,3.0944,2.8422,1.934,2.1147,1.614,1.0079,3.4765,2.1702,2.9729,3.0376,3.0619,1.8078,1.2696,3.1377,1.105,3.1829,2.9507,3.7127,1.7828,2.8994,2.0946,2.7594,2.609,1.6558,2.2391,2.8402,0.8805,4.3924,2.2753,2.4306,4.7448,2.6067,3.0411,2.8301,2.9984,1.9931,2.5731,2.3135,1.5998,2.4332,2.727,3.6543,2.5511,3.0774,3.6184,3.0808,2.7095
ABL2,0.5763,0.058,0.537,3.0944,0.2029,0.5271,0.7579,1.0222,-0.5125,-0.3566,0.0014,-0.8339,-0.6643,0.9789,-0.1031,1.9786,0.6608,1.5415,1.8201,0.4967,0.9038,1.0915,0.4552,1.614,2.0465,2.4171,-0.0277,0.8883,1.0079,0.547,0.3573,-0.2159,0.4447,1.2516,1.3109,1.4388,1.8879,-0.4921,1.8879,-0.0725,-0.0725,1.0983,1.0007,0.099,0.5271,1.1117,-0.0574,0.058,0.7058,0.099,2.4035,1.7489,2.2633,0.4865,0.679,-0.2671,1.1184,-0.6193,-0.6193,-1.2481,-0.0877,-1.4699,-1.3548,0.2881,0.517,0.679,1.6281,1.7786,1.3225,-0.0277,1.2271,0.6969,1.412,0.0158,1.4388,0.2154,1.5316,0.9268,-0.1345,0.8246,1.4652,-0.1504,-0.0277,0.8961,1.0151,-0.1993,-0.4521,0.2154,0.0158,1.4911,0.5271,1.3791,1.6234,1.0847,1.1897,0.2277,-0.1031,1.4859,0.9716,1.4388,0.7748,0.03,0.5666,1.0642,0.1903,0.0854,-0.9971,-0.7346,0.6608,0.0854,1.0433,0.058,0.7321,0.3573,-0.9406,0.7407,-0.3022,-0.2845,0.099,1.4174,-0.3383,-0.0574,-0.3752,1.0503,-0.0425,-1.0262,0.044,0.4233,-1.0262,1.5563,-0.7588,-0.2671,1.4652,0.537,0.4761,-0.013,0.4016,0.4233,-0.0725,-0.8339,-1.2828,0.5859,0.2998,0.2522,0.9716,1.3735,2.0218,0.679,0.0014
ACAA1,6.8591,6.2672,6.9946,6.4031,8.1352,7.7658,7.5981,5.7488,6.7982,7.6026,7.7993,7.5768,7.8943,6.7088,7.3668,6.8245,7.234,7.7653,5.022,6.2593,4.2639,6.4558,6.9005,6.0072,5.7244,5.4283,6.2108,6.3641,6.8716,7.0805,6.6771,7.1046,7.0009,8.2088,6.0983,4.7651,7.9654,7.6348,6.0372,7.2667,8.5028,7.3816,6.3029,8.0882,8.105,7.4701,7.8648,7.8643,6.858,7.6723,5.9461,8.8765,5.7626,8.7278,6.9338,7.3683,7.2468,6.5955,6.9092,8.9848,6.1719,7.7497,8.0491,6.1488,8.0082,6.9781,4.1804,7.1555,6.8922,6.1687,8.0807,6.4774,5.8977,7.469,6.1293,7.8041,6.1479,5.917,8.2002,6.9948,7.1333,7.772,8.3307,7.7977,8.1676,7.2187,7.8774,6.9378,7.5218,5.9727,7.9628,7.0836,5.9577,5.8035,7.1565,8.3765,8.2069,6.8475,6.2077,7.9411,8.6276,7.0368,8.5565,7.1432,7.1127,6.8746,8.7633,7.063,7.2674,7.2331,6.2188,7.8823,7.4285,5.6773,6.2432,6.9667,7.5481,8.2935,7.2875,6.1607,7.6737,6.9333,7.8523,7.8129,5.7853,7.145,7.5755,7.1472,8.3199,6.3595,7.9445,9.1955,6.2174,6.5929,7.0929,8.8112,6.8875,7.0305,6.4986,8.2564,8.1648,6.4293,6.986,7.6611,6.9928,7.1212,7.0887,6.888,6.4355
ACACA,2.0183,3.7171,3.5187,3.8064,1.9377,3.002,5.6857,3.5935,3.2587,3.2929,2.8858,4.4894,2.6019,2.7183,4.5386,3.5535,4.2227,3.9709,3.7635,3.8788,3.4881,4.0462,3.2811,4.3695,3.4197,3.4713,4.1441,3.4569,5.1231,4.66,4.0705,3.5073,3.7773,3.0515,4.0627,3.4371,4.1628,5.051,3.2959,3.3278,3.6939,2.7551,2.8361,4.6065,1.6964,2.3019,2.5288,3.9682,3.5124,1.5854,4.1194,3.2692,3.7006,4.6832,4.3463,2.4779,4.2358,2.9243,3.2328,2.8402,3.5287,3.1765,1.7489,3.3938,2.8602,3.2158,2.9243,2.3592,3.5212,3.4856,3.6277,3.4061,3.755,1.9226,4.4654,2.561,2.8381,3.287,2.8178,4.7274,2.8076,3.1876,3.4945,3.773,3.9496,3.66,2.5163,3.7324,2.376,2.8955,2.2082,3.5779,3.2466,4.8802,2.4701,3.5424,1.9638,2.6624,2.0218,3.3731,3.4517,3.0038,3.1426,4.0019,2.6602,3.2707,2.5852,2.5112,3.7335,2.5683,3.9719,3.9673,2.6067,4.1094,2.6533,3.6737,3.2251,3.0791,2.6043,2.9109,4.026,2.9893,2.2663,2.5313,3.1797,1.2333,4.717,2.3164,2.081,3.9829,2.3981,2.118,4.1482,2.9356,2.1047,1.4281,2.5188,2.6533,2.6693,3.1045,2.3732,3.3842,3.6612,3.8511,4.245,4.8319,3.3577,2.7636,3.4622
ACACB,3.927,4.1086,2.2206,4.5705,3.2065,3.8521,3.8857,4.3667,2.676,3.6555,3.4183,-0.8863,3.7182,2.6302,3.5572,1.2209,1.2992,1.8444,1.8683,2.7073,3.9737,3.9299,1.4547,0.7407,-0.3752,1.7403,4.1474,2.609,1.2934,2.2783,3.3633,3.5608,1.595,2.1509,1.4494,1.5115,2.5413,1.8323,3.7919,4.1891,1.8564,4.0348,1.6327,4.1474,4.2818,4.1285,4.0532,4.2412,3.0568,1.7744,3.5299,3.3163,2.5163,1.642,0.6517,0.7146,1.3567,2.2633,0.4016,3.6101,0.4233,3.417,3.2781,3.4384,2.5658,1.177,3.4464,2.7444,3.8289,4.696,2.4831,2.7051,3.8481,3.6872,4.7581,4.7656,1.4911,2.6984,2.2175,3.5324,3.1653,4.0994,4.8279,1.8762,3.4061,4.9695,3.4318,4.2442,3.245,2.043,2.7139,2.2082,3.1749,1.683,2.1957,1.9895,3.6266,3.2034,2.578,3.1749,4.0858,1.8404,1.9968,1.8444,2.2693,2.1047,3.4622,2.0395,3.5224,2.8522,3.652,4.8012,3.0252,3.2929,1.4174,0.679,1.8996,4.9635,3.1095,2.8219,3.7291,4.2173,3.2973,2.7336,1.7053,2.6395,3.4674,3.3925,3.7083,2.5263,2.5756,3.1556,2.6624,2.6464,3.3521,3.7699,3.1844,1.2023,3.4061,4.0532,3.0323,1.4228,4.0225,0.4552,0.9716,5.6585,3.2435,2.167,3.5399
ACADL,-3.6259,3.8157,2.3077,-9.9658,2.9747,3.9127,2.6693,2.3479,2.6693,1.9968,2.2663,-2.7274,1.8643,0.2881,1.9415,-6.5064,-0.394,-1.4699,-4.035,1.4808,-0.4521,2.2901,-6.5064,-0.4131,-9.9658,-0.0725,1.2516,0.2029,-0.1187,0.6517,-0.0425,0.537,-0.7108,2.8158,-5.5735,0.8408,2.6114,1.8242,1.9749,2.376,1.0433,-5.0116,0.8568,3.091,2.1213,2.2783,2.5634,1.412,-1.3548,2.1213,1.9377,-1.4305,-6.5064,-4.2934,-2.3147,-4.035,-6.5064,1.9034,-0.3752,2.5213,-0.9406,-2.4659,2.59,2.1147,3.3773,-3.0469,-5.0116,1.1117,1.5709,3.7825,3.7215,1.334,0.7321,3.2647,2.496,4.3321,-6.5064,2.2299,1.9601,1.1512,2.77,1.683,2.6487,1.9675,2.8681,2.4934,-5.0116,2.6232,1.5165,-6.5064,2.6348,-5.5735,-9.9658,-0.8339,1.6187,0.6239,2.4544,3.0411,-3.6259,3.4183,3.7898,-2.8262,-6.5064,1.6964,1.8801,-0.013,-9.9658,0.6239,-5.0116,1.0711,2.8422,2.8219,-1.7322,1.4494,-2.3884,-1.7809,2.2206,3.2466,2.3732,-0.9406,2.0979,-1.3183,1.736,0.8408,-0.1993,2.1047,2.876,0.9191,4.3378,0.6332,1.8643,2.328,-0.2159,2.4332,2.1313,2.4597,-1.0262,-2.9324,-0.7588,2.9356,2.6325,0.8164,2.5876,-4.6082,-4.6082,3.0723,3.091,1.683,-4.035
ACADM,6.6153,6.5007,5.3851,7.0165,6.8148,6.1031,6.7125,5.464,4.7159,6.3368,4.7291,2.6828,5.7334,4.9714,5.3115,4.4324,6.6595,5.5699,4.3299,5.166,4.9463,5.7328,2.3649,4.4621,3.5754,4.5047,5.1453,4.6142,4.1294,4.1433,6.3502,4.85,2.6828,6.1268,3.9783,3.8249,7.4469,6.6515,5.3792,5.2694,3.5498,5.5211,4.47,7.2832,6.6781,6.2246,6.4045,7.2171,5.7428,6.4355,5.8382,5.5024,4.5491,7.1285,5.7848,3.5523,6.7561,3.8591,4.1417,7.5042,4.2548,5.0803,5.434,2.791,6.3593,3.4997,5.9633,5.5367,5.5744,6.4733,7.3944,4.711,3.3925,6.3737,6.6417,6.5077,3.2174,4.8309,5.8212,6.3286,6.0211,5.6502,7.9302,6.4185,6.3932,6.0301,2.2452,6.3318,6.8868,4.7361,6.3815,4.4945,4.3068,3.4765,3.2722,5.7126,5.4256,5.4206,5.079,5.6902,6.3526,4.5429,4.5318,5.2258,4.8197,5.1355,3.7919,3.1781,6.1725,6.0845,5.5012,6.0955,6.3487,5.4333,0.7579,5.0233,4.5318,7.0633,5.6944,4.1203,5.6935,5.967,6.8114,6.978,6.1697,6.2139,6.6702,5.8565,4.8954,5.8056,4.5952,6.5992,5.4845,5.7592,6.6313,6.6914,4.9778,2.9525,6.2163,7.3033,6.9299,5.2836,6.3956,4.4713,4.6543,6.2476,5.2017,5.6996,6.1379
ACOX1,5.3505,5.9807,5.1827,5.5614,5.8197,6.1416,7.3169,3.8925,5.9246,5.1587,4.1923,5.0786,5.2994,4.6474,4.8842,2.5996,4.9374,5.1285,4.3456,4.2601,5.2238,5.3733,5.9739,3.5324,2.5536,3.2632,5.124,4.5844,4.1986,4.2526,6.2869,5.9206,4.3292,5.3917,2.6395,3.5161,5.8635,6.4172,5.0343,6.115,5.4182,5.701,3.6657,6.3241,6.0155,5.9263,6.4817,7.3253,4.9598,5.1359,5.3089,4.8753,4.7093,5.7214,4.4575,3.8531,4.5224,4.2258,4.17,5.3625,4.2884,6.5223,5.2698,5.9892,4.7624,4.4713,4.1756,5.1077,4.9113,5.4663,4.7924,4.079,3.7971,5.6186,5.2483,5.4128,3.3814,5.018,5.8741,3.9534,5.4148,5.1035,6.4991,6.86,4.9103,5.6941,4.4549,4.6271,5.9129,4.0858,5.2533,5.2442,3.9242,3.5694,4.958,4.4894,4.9364,5.2563,3.3979,4.8202,5.133,3.6905,4.7104,5.3473,3.5424,2.9262,5.8729,2.9356,5.5967,4.9194,4.3499,5.2419,5.6358,5.7751,5.2972,3.7182,5.0457,6.7678,4.9805,4.3378,5.1748,5.5223,4.6041,5.7719,4.9556,5.1619,5.9463,4.3541,4.5832,5.0627,4.734,5.4829,3.9099,4.1417,5.4283,5.5043,5.0291,3.3264,5.8939,5.1768,5.8359,5.2365,4.6491,5.3385,4.8515,4.9828,5.935,5.0635,4.3249
ACOX2,4.5916,6.6119,5.0242,5.6826,6.3937,7.8628,7.5855,5.8076,4.9284,6.806,7.1284,7.6009,6.6726,5.998,7.4731,4.6838,5.842,7.0965,1.4388,6.8368,3.8944,4.1796,5.8069,3.6018,0.0158,3.0671,5.6708,6.2722,7.385,6.1548,6.9335,7.1205,7.2072,7.0032,1.3397,1.3167,6.0222,6.5926,4.1136,6.7512,7.5217,4.0833,7.0778,6.8411,7.1749,7.1617,6.4305,6.674,0.3796,6.1483,5.322,6.2001,4.8269,6.466,6.0849,5.9418,6.8618,6.4378,5.1803,7.0773,5.498,5.5463,7.1033,5.3827,6.8739,5.5081,-1.3183,5.2495,5.6384,6.8083,7.0891,4.1294,5.4182,6.4202,7.0224,6.5808,5.3463,5.8968,7.5391,4.4945,6.0306,7.6715,7.0256,6.0407,7.4605,6.6903,6.0646,5.291,6.7995,3.7709,6.0794,6.314,5.856,0.3685,7.5746,5.4989,6.2989,5.6168,-1.1811,6.7377,7.8916,4.048,6.4754,5.8375,6.0195,5.4819,6.6636,6.6642,5.5901,6.9479,5.8948,6.4321,4.6416,7.0683,5.4276,5.0605,7.2806,6.8664,5.558,4.863,6.8897,6.3825,6.429,6.5027,5.3473,6.8328,5.5659,6.2707,6.8914,3.7259,5.5874,6.7035,5.7195,6.3363,6.624,7.0018,6.503,5.5277,6.1623,6.4167,7.1728,5.591,5.3968,5.0072,5.5305,6.5443,6.5206,5.8674,5.804
ACOX3,3.907,3.4143,2.8916,3.551,3.6961,3.1637,4.0653,3.3421,3.6066,2.7805,3.0602,3.1095,3.7083,3.9412,2.2206,1.934,3.9166,2.6805,2.8442,4.382,2.6208,2.4171,3.8925,4.7066,3.8411,3.9012,4.4423,3.9645,3.6509,4.9397,3.6335,2.8442,3.9589,4.7426,2.3649,4.0952,2.3732,3.1685,3.1475,3.7496,2.2268,3.3689,2.8361,3.6623,3.2127,3.3842,3.9022,3.1876,4.6259,2.4571,3.7127,4.3306,3.5621,3.4197,4.3862,4.1011,3.4661,3.6725,3.8054,3.3435,2.8014,3.1311,4.1875,4.7814,2.7742,3.6207,3.5815,3.6578,2.9109,3.0446,2.1894,3.6136,3.136,2.8897,2.9128,3.3206,3.5718,3.5718,2.4675,4.5072,3.7804,3.705,3.9204,3.1556,3.1955,3.421,3.9636,2.5731,2.8897,2.9205,3.6393,4.4881,3.2359,4.5002,3.2944,4.0549,3.2632,3.1955,3.421,3.1908,3.1588,3.5608,3.186,3.3703,3.755,2.8582,3.8876,3.573,3.1749,4.0233,4.048,3.4583,2.328,4.2196,4.4337,3.2572,4.4115,1.6374,4.5736,3.7773,4.594,2.4779,2.9765,3.4197,2.7508,3.0893,3.603,4.8115,3.6405,3.9459,4.0216,3.7518,4.0073,3.3017,3.2297,3.7846,4.1946,4.3406,4.2773,2.9562,3.1491,3.3979,3.6497,4.1923,4.2833,3.7313,2.8974,3.7464,2.6624
